geo,year,sm_participation,inflation,unemployment,cci,Facebook,Instagram,YouTube,LinkedIn,ent_share,prof_share,ent_minus_prof
CY,2020,78.18,-0.7807196198234889,7.591666666666666,,87.15249999999999,2.005,1.0016666666666667,0.6583333333333333,90.15916666666665,0.6583333333333333,89.50083333333333
CY,2021,78.62,4.832364009579182,7.183333333333334,,87.45166666666667,1.8591666666666666,1.2866666666666666,0.8108333333333334,90.59750000000001,0.8108333333333334,89.78666666666668
CY,2022,77.91,7.587501019825416,6.2749999999999995,,77.23833333333333,7.390833333333333,3.4683333333333337,0.8691666666666666,88.09750000000001,0.8691666666666666,87.22833333333334
CY,2023,82.56,1.9261393796921045,5.841666666666666,,66.89416666666666,13.589166666666666,4.611666666666667,0.7241666666666666,85.095,0.7241666666666666,84.37083333333334
CY,2024,86.81,3.117327579793172,4.8999999999999995,,69.20166666666667,13.551666666666668,3.9258333333333333,0.665,86.67916666666667,0.665,86.01416666666667
CZ,2013,36.3,1.4962593516209433,6.9750000000000005,98.64902083333334,79.625,0.0,6.870833333333334,0.1775,86.49583333333334,0.1775,86.31833333333333
CZ,2014,39.98,0.08190008190009923,6.116666666666667,101.0322775,78.41166666666666,0.0,1.71,0.12,80.12166666666667,0.12,80.00166666666667
CZ,2015,40.64,-0.08183306055646877,5.066666666666666,102.16753333333334,77.6175,0.0,0.41083333333333333,0.14333333333333334,78.02833333333334,0.14333333333333334,77.885
CZ,2016,45.05,2.0475020475020367,3.9583333333333335,102.61970000000001,69.32833333333333,0.04083333333333333,2.6591666666666667,0.8858333333333334,72.02833333333334,0.8858333333333334,71.1425
CZ,2017,48.35,2.2471910112359605,2.891666666666667,103.019775,61.00333333333333,1.6916666666666667,5.45,1.8533333333333335,68.145,1.8533333333333335,66.29166666666667
CZ,2018,55.57,1.5698587127158659,2.25,103.5363,54.76833333333334,3.015833333333333,9.35,1.4108333333333334,67.13416666666667,1.4108333333333334,65.72333333333334
CZ,2019,58.95,3.16846986089645,2.025,102.85640000000001,45.55416666666667,3.674166666666667,6.4125000000000005,0.5125000000000001,55.64083333333334,0.5125000000000001,55.12833333333333
CZ,2020,58.97,2.397003745318349,2.558333333333333,100.56209166666667,45.182500000000005,5.16,5.395833333333333,0.24750000000000003,55.73833333333334,0.24750000000000003,55.490833333333335
CZ,2021,61.5,5.4864667154352675,2.8083333333333336,100.3986375,53.865833333333335,4.176666666666667,5.416666666666667,0.4583333333333333,63.45916666666667,0.4583333333333333,63.00083333333333
CZ,2022,64.13,16.712898751733718,2.3833333333333333,96.75221,57.767500000000005,8.57,4.4325,0.3491666666666667,70.77,0.3491666666666667,70.42083333333333
CZ,2023,68.13,7.605466428995822,2.6166666666666667,98.30641333333334,70.82916666666667,9.021666666666667,2.4466666666666668,0.3,82.2975,0.3,81.9975
CZ,2024,70.24,3.2026504693539515,2.7583333333333333,99.87447250000001,61.19083333333333,13.027500000000002,6.889166666666667,0.6466666666666666,81.1075,0.6466666666666666,80.46083333333333
DE,2013,42.09,1.2195121951219523,4.933333333333334,100.83949166666667,78.02333333333333,0.0,4.804166666666666,0.11416666666666668,82.8275,0.11416666666666668,82.71333333333332
DE,2014,42.33,0.0860585197934638,4.716666666666667,101.41875,77.23583333333333,0.0,1.3283333333333334,0.057499999999999996,78.56416666666667,0.057499999999999996,78.50666666666666
DE,2015,56.96,0.2579535683576939,4.3500000000000005,101.41788333333334,74.99833333333333,0.0,0.21166666666666667,0.255,75.21,0.255,74.955
DE,2016,50.33,1.543739279588352,3.908333333333333,101.28175,75.345,0.1791666666666667,0.5141666666666667,0.22833333333333336,76.03833333333334,0.22833333333333336,75.81
DE,2017,50.59,1.520270270270263,3.516666666666667,101.76735000000001,69.2025,2.7708333333333335,3.0908333333333338,0.22999999999999998,75.06416666666667,0.22999999999999998,74.83416666666666
DE,2018,52.7,1.580698835274541,3.1916666666666664,101.75115833333332,62.12083333333334,3.1616666666666666,6.480833333333333,0.255,71.76333333333334,0.255,71.50833333333334
DE,2019,52.5,1.5561015561015523,2.9499999999999997,101.22150833333335,63.39666666666667,3.2925000000000004,4.665,0.2808333333333333,71.35416666666667,0.2808333333333333,71.07333333333334
DE,2020,54.3,-0.5645161290322553,3.65,99.7652225,63.656666666666666,3.591666666666667,3.978333333333333,0.24333333333333332,71.22666666666667,0.24333333333333332,70.98333333333333
DE,2021,46.6,5.596107055961075,3.608333333333333,100.63240083333334,67.16583333333334,4.034166666666667,4.0408333333333335,0.5866666666666667,75.24083333333334,0.5866666666666667,74.65416666666667
DE,2022,47.73,9.600614439324119,3.1333333333333333,97.75575083333332,70.91833333333334,8.5275,3.1333333333333333,0.5966666666666667,82.57916666666667,0.5966666666666667,81.9825
DE,2023,48.61,3.784162578836714,3.0583333333333336,98.63357583333334,59.37083333333334,18.415,4.11,1.7225,81.89583333333333,1.7225,80.17333333333333
DE,2024,58.02,2.8359216745442284,3.375,99.44859666666667,57.79333333333333,19.413333333333334,3.9825,1.3841666666666665,81.18916666666667,1.3841666666666665,79.80499999999999
DK,2013,63.6,0.5150214592274605,7.366666666666667,100.73371666666667,75.03916666666667,0.0,4.113333333333333,0.33,79.1525,0.33,78.8225
DK,2014,66.49,0.0,6.916666666666667,101.41391666666668,83.73,0.0,0.6066666666666667,0.09916666666666667,84.33666666666666,0.09916666666666667,84.2375
DK,2015,64.86,0.3415883859948732,6.266666666666667,101.52268333333335,83.05333333333333,0.0,0.075,0.0775,83.12833333333333,0.0775,83.05083333333333
DK,2016,74.37,0.2553191489361728,5.983333333333333,100.649825,85.2625,0.13416666666666666,0.1225,0.16749999999999998,85.51916666666666,0.16749999999999998,85.35166666666667
DK,2017,75.5,0.8488964346349714,5.825,101.27886666666666,77.41083333333333,1.3166666666666667,2.035833333333333,1.1033333333333333,80.76333333333334,1.1033333333333333,79.66
DK,2018,78.64,0.6734006734006703,5.125,101.25619166666667,68.075,2.9575,4.708333333333333,1.6166666666666665,75.74083333333333,1.6166666666666665,74.12416666666667
DK,2019,80.76,0.8361204013378032,5.0,100.83341666666666,72.67333333333333,3.4308333333333336,2.3283333333333336,0.4175,78.43249999999999,0.4175,78.015
DK,2020,85.01,0.3316749585406287,5.625,100.21587666666666,66.02333333333333,3.7258333333333336,2.6483333333333334,0.42250000000000004,72.3975,0.42250000000000004,71.97500000000001
DK,2021,85.42,3.388429752066102,5.083333333333333,101.11905833333333,58.155,3.7875,3.3608333333333333,0.7758333333333334,65.30333333333333,0.7758333333333334,64.5275
DK,2022,84.73,9.592326139088737,4.45,97.2954175,51.65416666666667,7.322500000000001,2.48,0.6,61.45666666666667,0.6,60.85666666666666
DK,2023,91.02,0.4376367614879584,5.133333333333334,98.51695833333333,66.97416666666668,11.286666666666667,1.9116666666666668,0.6666666666666666,80.1725,0.6666666666666666,79.50583333333333
DK,2024,90.02,1.8155410312272968,6.191666666666666,99.10649416666666,77.3175,7.392499999999999,1.5766666666666664,0.6008333333333333,86.28666666666668,0.6008333333333333,85.68583333333333
EE,2013,48.82,2.0473676701384003,8.5,100.58093416666667,71.18416666666667,0.0,6.335833333333333,0.15166666666666667,77.52,0.15166666666666667,77.36833333333333
EE,2014,50.64,0.05592450192239973,7.308333333333334,101.73536666666666,73.10833333333333,0.0,1.1316666666666666,0.06999999999999999,74.24,0.06999999999999999,74.17
EE,2015,55.83,-0.16767973171243344,6.383333333333333,101.79181666666666,79.95916666666666,0.0,0.12333333333333334,0.0725,80.0825,0.0725,80.01
EE,2016,57.45,2.351459164392189,6.841666666666666,101.82845833333333,76.8,0.1975,1.0858333333333332,0.3758333333333333,78.08333333333333,0.3758333333333333,77.7075
EE,2017,60.31,3.7606837606837695,5.825,102.98714166666667,68.9225,1.4933333333333334,3.205833333333333,0.43916666666666665,73.62166666666667,0.43916666666666665,73.1825
EE,2018,62.07,3.3212520593080663,5.366666666666667,103.28865833333333,60.5325,2.74,7.488333333333333,0.2791666666666667,70.76083333333334,0.2791666666666667,70.48166666666667
EE,2019,65.14,1.7922061355953867,4.491666666666666,103.58128333333333,56.288333333333334,4.065833333333333,3.9941666666666666,0.3166666666666667,64.34833333333334,0.3166666666666667,64.03166666666667
EE,2020,65.2,-0.8771929824561431,6.8999999999999995,100.185075,55.67916666666667,6.716666666666666,3.825833333333333,0.28250000000000003,66.22166666666666,0.28250000000000003,65.93916666666667
EE,2021,67.33,12.029077117572683,6.183333333333334,100.29552583333333,65.11416666666666,4.1066666666666665,3.9033333333333338,0.3908333333333333,73.12416666666667,0.3908333333333333,72.73333333333333
EE,2022,66.08,17.502680133160297,5.575,95.450665,69.3175,6.57,2.4908333333333332,0.325,78.37833333333333,0.325,78.05333333333333
EE,2023,68.49,4.264105642256899,6.441666666666666,94.97810416666665,69.01666666666667,9.188333333333334,2.1266666666666665,0.39666666666666667,80.33166666666666,0.39666666666666667,79.935
EE,2024,68.43,4.0620826233132235,7.633333333333333,94.28725166666668,69.2,9.241666666666667,2.7358333333333333,0.6116666666666667,81.1775,0.6116666666666667,80.56583333333333
EL,2013,36.11,-1.8155292591992223,27.808333333333334,95.1597925,,,,,0.0,0.0,0.0
EL,2014,40.65,-2.5342578834406493,26.625,97.38326666666667,,,,,0.0,0.0,0.0
